"SEASON","TEAM_NAME","WINS","LOSSES","WIN_PCT","WINS_5Y","LOSSES_5Y","WIN_PCT_5Y"
"1999","Seattle SuperSonics",45,37,0.549,252,126,0.667
"1952","Rochester Royals",44,26,0.629,222,111,0.667
"2018","Toronto Raptors",58,24,0.707,273,137,0.666
"2001","Utah Jazz",44,38,0.537,251,127,0.664
"2000","Miami Heat",50,32,0.61,251,127,0.664
"1977","Boston Celtics",32,50,0.39,272,138,0.663
"1995","San Antonio Spurs",59,23,0.72,272,138,0.663
"2005","Detroit Pistons",64,18,0.78,272,138,0.663
"1985","Milwaukee Bucks",57,25,0.695,272,138,0.663
"2009","Cleveland Cavaliers",61,21,0.744,272,138,0.663
"2015","Oklahoma City Thunder",55,27,0.671,261,133,0.662
"1982","Boston Celtics",56,26,0.683,271,139,0.661
"1995","Phoenix Suns",41,41,0.5,271,139,0.661
"2017","Houston Rockets",65,17,0.793,271,139,0.661
"1991","Portland Trail Blazers",57,25,0.695,271,139,0.661
"1995","New York Knicks",47,35,0.573,270,140,0.659
"2018","Houston Rockets",53,29,0.646,270,140,0.659
"1995","Utah Jazz",55,27,0.671,270,140,0.659
"1998","Los Angeles Lakers",31,19,0.62,249,129,0.659
"2009","Phoenix Suns",54,28,0.659,270,140,0.659
"2021","Milwaukee Bucks",51,31,0.622,257,134,0.657
"2011","Orlando Magic",37,29,0.561,259,135,0.657
"2008","Detroit Pistons",39,43,0.476,269,141,0.656
"1994","Utah Jazz",60,22,0.732,269,141,0.656
"2005","Sacramento Kings",44,38,0.537,269,141,0.656
"1992","Portland Trail Blazers",51,31,0.622,269,141,0.656
"1994","San Antonio Spurs",62,20,0.756,268,142,0.654
"1971","Los Angeles Lakers",69,13,0.841,267,141,0.654
"1973","New York Knicks",49,33,0.598,268,142,0.654
"2002","Sacramento Kings",59,23,0.72,246,132,0.651
"1986","Milwaukee Bucks",50,32,0.61,267,143,0.651
"2014","Oklahoma City Thunder",45,37,0.549,256,138,0.65
"2009","Los Angeles Lakers",57,25,0.695,266,144,0.649
"1990","Boston Celtics",56,26,0.683,266,144,0.649
"1983","Milwaukee Bucks",50,32,0.61,265,145,0.646
"1996","Houston Rockets",57,25,0.695,265,145,0.646
"1973","Milwaukee Bucks",59,23,0.72,265,145,0.646
"2019","Houston Rockets",44,28,0.611,258,142,0.645
"1977","Milwaukee Bucks",44,38,0.537,264,146,0.644
"1993","Utah Jazz",53,29,0.646,264,146,0.644
"2002","Portland Trail Blazers",50,32,0.61,243,135,0.643
"1999","Miami Heat",52,30,0.634,243,135,0.643
"2016","Oklahoma City Thunder",47,35,0.573,253,141,0.642
"1994","Seattle SuperSonics",57,25,0.695,263,147,0.641
"1953","Rochester Royals",44,28,0.611,221,124,0.641
"1990","Portland Trail Blazers",63,19,0.768,263,147,0.641
"1981","Los Angeles Lakers",57,25,0.695,263,147,0.641
"2017","Toronto Raptors",59,23,0.72,263,147,0.641
"2015","Chicago Bulls",42,40,0.512,252,142,0.64
"1973","Boston Celtics",56,26,0.683,262,148,0.639
"1991","Utah Jazz",55,27,0.671,262,148,0.639
"2019","San Antonio Spurs",32,39,0.451,255,144,0.639
"1993","San Antonio Spurs",55,27,0.671,262,148,0.639
"1994","Portland Trail Blazers",44,38,0.537,262,148,0.639
"2010","Orlando Magic",52,30,0.634,262,148,0.639
"1994","New York Knicks",55,27,0.671,262,148,0.639
"1972","New York Knicks",57,25,0.695,262,148,0.639
"2003","Dallas Mavericks",52,30,0.634,262,148,0.639
"1992","Utah Jazz",47,35,0.573,262,148,0.639
"1982","Phoenix Suns",53,29,0.646,261,149,0.637
