"MAKE","MODEL","COUNT(*)"
"Infiniti","FX",394
"Mitsubishi","Eclipse",394
"Jaguar","XF",391
"Lexus","LS 430",386
"Toyota","FJ Cruiser",385
"Mazda","CX-7",384
"Chevrolet","Cavalier",384
"Buick","Verano",382
"Lexus","ES 300",381
"Dodge","Magnum",375
"Toyota","Camry Solara",368
"MINI","Cooper Clubman",359
"Audi","A5",359
"Ford","Five Hundred",358
"Saab","9-3",354
"Lincoln","Town Car",352
"Saturn","S-Series",350
"Toyota","Matrix",349
"Chevrolet","Uplander",342
"Volkswagen","Touareg",338
"Lexus","RX 300",334
"Mercedes-Benz","R-Class",332
"BMW","X1",331
"Chevrolet","Blazer",329
"Infiniti","FX35",325
"Infiniti","G Convertible",323
"Chevrolet","Spark",322
"Infiniti","JX",322
"Mercedes-Benz","SLK-Class",321
"Volkswagen","Golf",319
"Hyundai","Azera",314
"Ford","C-Max Hybrid",312
"Mercury","Mariner",312
"Lexus","ES 330",309
"Mazda","Tribute",309
"Honda","Element",308
"FIAT","500L",305
"Hyundai","Santa Fe Sport",304
"HUMMER","H2",304
"Cadillac","STS",303
"Honda","Crosstour",300
"Audi","A8",298
"BMW","M3",297
"Hyundai","Genesis Coupe",294
"BMW","4 Series",293
"Chevrolet","Express",293
"Dodge","Stratus",291
"Saturn","Outlook",288
"Buick","Rendezvous",287
"Nissan","Cube",286
"Suzuki","SX4",281
"Volvo","S80",279
"Ford","Freestyle",278
"BMW","Z4",276
"Mercury","Milan",274
"Porsche","Panamera",268
"Pontiac","Torrent",266
"BMW","X6",263
"Ford","Freestar",262
"Audi","A3",259
"Lexus","GX 460",257
"Infiniti","M35",257
"Ram","3500",253
"Pontiac","Vibe",246
"Dodge","Neon",246
"Hyundai","Elantra GT",246
"Kia","Cadenza",245
"Jaguar","S-Type",240
"GMC","Envoy XL",239
"Suzuki","Forenza",239
"Porsche","Boxster",235
"Ford","C-Max Energi",234
"Volkswagen","Routan",232
"Chrysler","Pacifica",229
"Porsche","911",229
"Honda","Insight",228
"Chrysler","Aspen",228
"Dodge","Caravan",227
"Buick","Century",227
"Mazda","MX-5 Miata",227
"Chevrolet","S-10",221
"Mercury","Sable",221
"Lexus","GS 300",219
"Lincoln","LS",218
"Infiniti","G37",215
"Jaguar","XJ",213
"Ford","Windstar",212
"Infiniti","QX",211
"Mitsubishi","Mirage",211
"Volkswagen","Jetta SportWagen",208
"Nissan","370Z",205
"Toyota","Highlander Hybrid",204
"BMW","5 Series Gran Turismo",204
"Subaru","XV Crosstrek",201
"Cadillac","ATS",201
"Dodge","Ram Pickup 3500",201
"Honda","Ridgeline",199
"Audi","S4",197
"Lexus","IS 350",195
"Suzuki","Grand Vitara",194
"Saturn","L-Series",191
"Hyundai","Tiburon",191
"Chevrolet","TrailBlazer EXT",190
"Volkswagen","Eos",190
"Jaguar","X-Type",190
"Chevrolet","Silverado 1500 Classic",188
"Infiniti","QX60",183
"Mitsubishi","Endeavor",182
"Chevrolet","Venture",179
"Lexus","RX 450h",178
"Land Rover","LR4",175
"Jaguar","XJ-Series",175
"Mercedes-Benz","CL-Class",175
"Scion","xD",172
"Chevrolet","Malibu Maxx",172
"Volvo","XC70",169
"Scion","FR-S",166
"Volvo","V70",165
"Lexus","RX 400h",164
"Kia","Rondo",163
"Cadillac","Seville",158
"Cadillac","CTS Coupe",158
"Hyundai","Veracruz",156
"Cadillac","XTS",155
"Lincoln","MKT",154
"Cadillac","Escalade EXT",154
"Chevrolet","Silverado 3500HD",154
"Land Rover","Range Rover Evoque",151
"Acura","RSX",151
"Mitsubishi","Montero Sport",151
"Volvo","C70",150
"Lincoln","Aviator",150
"Mazda","MPV",149
"Suzuki","XL7",148
"Audi","S5",146
"Infiniti","EX",145
"Mitsubishi","Eclipse Spyder",142
"Acura","ILX",140
"Ford","Crown Victoria",140
"Pontiac","G5",138
"Land Rover","LR2",137
"Mitsubishi","Lancer Evolution",136
"Ford","Excursion",136
"Ford","Econoline Wagon",135
"Pontiac","Bonneville",135
"Ford","Escape Hybrid",134
"Mercedes-Benz","CLA-Class",134
"Audi","A7",133
"Nissan","Rogue Select",133
"Hyundai","Equus",132
"Ford","Explorer Sport",131
"Oldsmobile","Alero",130
"Audi","TT",128
"Hyundai","Elantra Touring",127
"Lexus","IS 250 C",125
"Scion","iQ",122
"Lexus","LX 570",121
"Dodge","Sprinter Cargo",119
"GMC","Canyon",118
"Toyota","Prius c",117
"Mazda","Protege",116
"Buick","Park Avenue",116
"Dodge","Intrepid",115
"Chevrolet","Corvette Stingray",113
"Lexus","IS 300",112
"Pontiac","G8",110
"BMW","6 Series Gran Coupe",108
"Honda","CR-Z",108
"Toyota","Land Cruiser",108
"Acura","RL",108
"Subaru","Impreza WRX",108
"BMW","M5",107
"Honda","Accord Crosstour",106
"Ford","Escort",105
"Lexus","GX 470",105
"Pontiac","Sunfire",105
"Hyundai","Elantra Coupe",103
"Toyota","Prius v",103
"Mazda","626",102
"Kia","Amanti",101
"Chrysler","300M",101
"Nissan","350Z",101
"Isuzu","Rodeo",101
"Toyota","Celica",100
"Ford","Shelby GT500",100
"Infiniti","QX80",98
"Ford","Thunderbird",98
"Acura","CL",97
"Infiniti","I35",96
"Pontiac","Solstice",96
"Volkswagen","Rabbit",95
"Lincoln","Zephyr",95
"Mercury","Montego",93
"Buick","Encore",93
"Buick","Rainier",90
"Infiniti","M37",90
"MINI","Cooper Paceman",90
"Ford","Taurus X",89
"Subaru","B9 Tribeca",87
"Jaguar","XK",87
"Lexus","LS 400",86
"BMW","",86
"Jaguar","XK-Series",85
"Nissan","Altima Hybrid",83
"BMW","M6",83
"Volvo","V60",83
"Lexus","SC 430",83
"Kia","Borrego",81
"Pontiac","Montana",80
"Suzuki","XL-7",79
"Chevrolet","malibu",79
"Hyundai","XG350",79
"Ford","F-450 Super Duty",77
"Lincoln","Mark LT",76
"Volvo","S70",74
"Infiniti","QX4",74
"Infiniti","I30",73
"Mercedes-Benz","Sprinter",73
"BMW","3 Series Gran Turismo",73
"Infiniti","QX70",73
"Lexus","HS 250h",72
"Subaru","Tribeca",72
"Lexus","ES 300h",72
"Hyundai","Entourage",70
"Chevrolet","Tracker",69
"Ford","Expedition EL",68
"Saab","9-5",67
"Infiniti","M45",67
"Lincoln","Continental",67
"Maserati","Quattroporte",66
"Chrysler","Concorde",66
"Porsche","Cayman",66
"Mercedes-Benz","G-Class",65
"Volkswagen","GLI",65
"Chevrolet","Silverado 2500HD Classic",65
"HUMMER","H2 SUT",65
"Ford","Focus ST",64
"Mitsubishi","Montero",64
"Infiniti","EX35",63
"BMW","Z3",61
"Nissan","GT-R",61
"Kia","K900",61
"Saturn","Relay",60
"Toyota","ECHO",60
"Volkswagen","Beetle Convertible",59
"Chrysler","Crossfire",59
"Ram","Promaster Cargo Van",59
"Nissan","NV Cargo",58
"Pontiac","GTO",58
"Pontiac","Firebird",58
"Lexus","LX 470",58
"GMC","Envoy XUV",56
"Chevrolet","Classic",56
"GMC","Sonoma",55
"Cadillac","Eldorado",55
"Buick","Terraza",55
"Chevrolet","Lumina",54
"Saturn","Astra",54
"Saab","9-7X",53
"Oldsmobile","Intrigue",53
"Mazda","Millenia",53
"Ford","Fusion Energi",51
"Volvo","V50",51
"Saturn","Sky",50
"Land Rover","Freelander",50
"Volkswagen","Jetta GLI",49
"GMC","Sierra 3500HD",48
"Mercury","Monterey",48
"Oldsmobile","Bravada",48
"Lexus","GS 430",48
"Mazda","Protege5",47
"GMC","Sierra 1500 Classic",47
"Chevrolet","Astro Cargo",46
"Audi","allroad",46
"Honda","S2000",46
"Toyota","Prius Plug-in",45
"Ford","F-150 Heritage",45
"Infiniti","Q45",44
"Acura","Integra",44
"Chevrolet","Malibu Classic",44
"Chevrolet","Silverado 1500HD",44
"Bentley","Continental GT",43
"Suzuki","Reno",43
"Ram","C/V Cargo Van",43
"Subaru","Baja",42
"Chevrolet","Black Diamond Avalanche",42
"GMC","Jimmy",42
"Infiniti","Q60 Convertible",42
"Subaru","BRZ",42
"Chevrolet","Astro",42
"Nissan","Murano CrossCabriolet",42
"Nissan","NV",42
"Oldsmobile","Aurora",41
"Volkswagen","Touareg 2",41
"Cadillac","CTS-V",41
"Cadillac","Escalade Hybrid",40
"Mazda","Mazdaspeed3",40
"Oldsmobile","Silhouette",40
"Volvo","C30",40
"Toyota","Avalon Hybrid",40
"MINI","Cooper Coupe",39
"Infiniti","G20",39
"Land Rover","LR3",39
"Mitsubishi","Lancer Sportback",39
"Acura","ZDX",39
"Jaguar","F-TYPE",39
"Isuzu","Ascender",38
"Chevrolet","Silverado 3500",38
"Audi","R8",38
"Mercury","Cougar",38
"Ram","Dakota",37
"BMW","X5 M",37
"Infiniti","Q60 Coupe",36
"Acura","TSX Sport Wagon",36
"Mazda","3",35
"Infiniti","FX45",35
"Cadillac","CTS-V Coupe",35
"Audi","allroad quattro",35
"GMC","Yukon Hybrid",34
"Bentley","Continental GTC",33
"Chevrolet","Tahoe Hybrid",33
"Lexus","GS 450h",33
"Subaru","WRX",33
"Isuzu","Trooper",32
"BMW","2 Series",32
"Infiniti","Q70",32
"Saturn","L300",32
"Suzuki","Kizashi",32
"Chevrolet","Prizm",31
"Bentley","Continental Flying Spur",31
"Lexus","IS F",31
"Volkswagen","Cabrio",30
"Nissan","NV200",29
"Cadillac","Catera",29
"Scion","xA",29
"Honda","Passport",29
"MINI","Cooper Roadster",29
"Maserati","GranTurismo",28
"Mazda","6",28
"Mitsubishi","Diamante",28
"Ram","C/V Tradesman",28
"Chevrolet","C/K 1500 Series",27
"Mitsubishi","Raider",27
"Land Rover","Discovery Series II",27
"Chevrolet","SSR",27
"Chrysler","Cirrus",26
